,hd,proper,ra,dec,dist,rv,mag,absmag,spect,ci,con,lum,exp,modexp,tgtfn,adjra_hms,adjdec_dms,adjra_deg,adjra_hour,adjdec_deg
59189,105842,,12.180864,51.796213,209.6436,0.0,7.65,1.043,K0,1.034,UMa,33.327,222,513.7205296793568,HD105842_TypK0_Mag7.65,"hms_tuple(h=12.0, m=11.0, s=21.094416391710666)","dms_tuple(d=51.0, m=45.0, s=54.23199210013081)",182.837893,12.189193,51.765064
59190,105814,,12.181191,-28.067889,239.2344,0.0,7.33,0.436,K0III,1.102,Hya,58.291,174,387.3560399526628,HD105814_TypK0_Mag7.33,"hms_tuple(h=12.0, m=11.0, s=13.323736599415668)","dms_tuple(d=-28.0, m=-5.0, s=-56.1965572310271)",182.805516,12.187034,-28.098943
59191,105815,,12.181245,-33.468164,178.2531,0.0,7.73,1.475,K0III,0.995,Hya,22.387,236,551.2912113423957,HD105815_TypK0_Mag7.73,"hms_tuple(h=12.0, m=11.0, s=14.735113513072804)","dms_tuple(d=-33.0, m=-29.0, s=-57.16252831902352)",182.811396,12.187426,-33.499212
59201,105943,,12.183354,81.709832,336.7003,-27.0,6.0,-1.636,K5III:,1.618,Cam,393.007,63,119.80781072170208,HD105943_TypK5_Mag6.0,"hms_tuple(h=12.0, m=13.0, s=8.292933647676364)","dms_tuple(d=81.0, m=40.0, s=42.21470112014458)",183.284554,12.21897,81.678393
59204,105834,,12.183446,-40.952154,313.4796,0.0,7.51,0.029,K1III,1.179,Cen,84.801,200,454.02750557766933,HD105834_TypK1_Mag7.51,"hms_tuple(h=12.0, m=11.0, s=24.987235996867128)","dms_tuple(d=-40.0, m=-58.0, s=-59.48766823330914)",182.854113,12.190274,-40.983191
59207,105846,,12.183763,8.717534,178.5714,0.0,7.34,1.081,K0,1.143,Vir,32.181,175,390.78879304975095,HD105846_TypK0_Mag7.34,"hms_tuple(h=12.0, m=11.0, s=20.3188444401151)","dms_tuple(d=8.0, m=41.0, s=11.197269083275927)",182.834662,12.188977,8.686444
59209,105852,,12.184143,-45.422866,404.8583,6.0,6.61,-1.427,K0III,1.086,Cen,324.19,100,205.22157007953126,HD105852_TypK0_Mag6.61,"hms_tuple(h=12.0, m=11.0, s=29.368368852748148)","dms_tuple(d=-45.0, m=-27.0, s=-14.023222023759558)",182.872368,12.191491,-45.453895
59240,105900,,12.189454,-2.699109,160.2564,0.0,6.74,0.716,K0,1.074,Vir,45.04,111,230.16325744576756,HD105900_TypK0_Mag6.74,"hms_tuple(h=12.0, m=11.0, s=40.6122097318638)","dms_tuple(d=-2.0, m=-43.0, s=-48.67988034871402)",182.919218,12.194615,-2.730189
59243,105913,,12.189697,-16.790841,32.3415,0.0,6.88,4.331,K0/2 + (G),0.77,Crv,1.613,123,260.4238489413245,HD105913_TypK0_Mag6.88,"hms_tuple(h=12.0, m=11.0, s=42.29548297229911)","dms_tuple(d=-16.0, m=-49.0, s=-18.867253600462277)",182.926231,12.195082,-16.821908
59246,105911,,12.190388,0.193788,377.3585,0.0,7.63,-0.254,K0,1.249,Vir,110.053,219,504.73495772895257,HD105911_TypK0_Mag7.63,"hms_tuple(h=12.0, m=11.0, s=43.953597169917344)","dms_tuple(d=0.0, m=9.0, s=45.739829991264)",182.93314,12.195543,0.162706
59249,105963,,12.191064,53.421521,30.1477,4.3,7.96,5.564,K0,0.88,UMa,0.518,282,675.323313533301,HD105963_TypK0_Mag7.96,"hms_tuple(h=12.0, m=11.0, s=58.94707127940691)","dms_tuple(d=53.0, m=23.0, s=25.326358823171518)",182.995613,12.199708,53.390368
59252,105918,,12.191564,-33.620013,714.2857,0.0,7.97,-1.299,K4III,1.515,Hya,288.138,284,681.3080354866522,HD105918_TypK4_Mag7.97,"hms_tuple(h=12.0, m=11.0, s=51.92269509383337)","dms_tuple(d=-33.0, m=-39.0, s=-3.8182112488647135)",182.966345,12.197756,-33.651061
59270,105956,,12.194571,-47.240039,555.5556,6.6,7.81,-0.914,K1/K2IIICNp,1.114,Cen,202.116,251,591.6096051155723,HD105956_TypK1_Mag7.81,"hms_tuple(h=12.0, m=12.0, s=7.803998918898998)","dms_tuple(d=-47.0, m=-16.0, s=-15.833509518872688)",183.032517,12.202168,-47.271065
59275,106002,,12.195806,57.054408,271.7391,35.0,6.34,-0.831,K5III,1.505,UMa,187.241,82,161.720568208778,HD106002_TypK5_Mag6.34,"hms_tuple(h=12.0, m=12.0, s=18.994524500877503)","dms_tuple(d=57.0, m=1.0, s=23.68289626235139)",183.079144,12.205276,57.023245
59276,105982,,12.19613,23.322499,198.8072,-15.9,6.73,0.238,K2,1.04,Com,69.952,110,228.14146549859603,HD105982_TypK2_Mag6.73,"hms_tuple(h=12.0, m=12.0, s=6.27116448715725)","dms_tuple(d=23.0, m=17.0, s=29.01911085786992)",183.02613,12.201742,23.291394
59285,105981,,12.19755,25.87028,271.7391,22.0,5.66,-1.511,K4III,1.401,Com,350.268,48,88.75748872831454,HD105981_TypK4_Mag5.66,"hms_tuple(h=12.0, m=12.0, s=11.798100785916006)","dms_tuple(d=25.0, m=50.0, s=21.020611548016177)",183.049159,12.203277,25.839172
59299,106007,,12.199729,-25.941481,171.5266,0.0,7.43,1.258,K1III,1.212,Hya,27.34,188,423.08537820947436,HD106007_TypK1_Mag7.43,"hms_tuple(h=12.0, m=12.0, s=19.665823764651265)","dms_tuple(d=-25.0, m=-58.0, s=-21.136544566386988)",183.081941,12.205463,-25.972538
59314,106072,,12.201536,64.463795,460.8295,0.0,7.55,-0.768,K2,1.2,Dra,176.685,206,470.3371004243402,HD106072_TypK2_Mag7.55,"hms_tuple(h=12.0, m=12.0, s=48.52758287182681)","dms_tuple(d=64.0, m=25.0, s=57.37298930394559)",183.202198,12.21348,64.432604
59318,106057,,12.202581,20.542064,130.3781,-25.0,5.6,0.024,K0II-III,0.961,Com,85.192,46,84.18106104676042,HD106057_TypK0_Mag5.6,"hms_tuple(h=12.0, m=12.0, s=29.10434902080212)","dms_tuple(d=20.0, m=30.0, s=39.463701226948444)",183.121268,12.208085,20.510962
59323,106059,,12.203956,-4.401974,100000.0,0.0,7.86,-12.14,K2,1.421,Vir,6251726.928,261,618.2926139519136,HD106059_TypK2_Mag7.86,"hms_tuple(h=12.0, m=12.0, s=32.85400456641369)","dms_tuple(d=-4.0, m=-25.0, s=-58.98827609269652)",183.136892,12.209126,-4.433052
59327,106076,,12.204904,5.8728,147.929,0.0,7.4,1.55,K0,0.991,Vir,20.893,184,412.0336743557815,HD106076_TypK0_Mag7.4,"hms_tuple(h=12.0, m=12.0, s=36.30799285594534)","dms_tuple(d=5.0, m=50.0, s=30.16434763478145)",183.151283,12.210086,5.841712
59328,106102,,12.204957,55.70588,115.8749,0.0,7.2,1.88,K2III-IV,1.223,UMa,15.417,158,345.3801253121633,HD106102_TypK2_Mag7.2,"hms_tuple(h=12.0, m=12.0, s=50.75360248222751)","dms_tuple(d=55.0, m=40.0, s=28.996497355859674)",183.211473,12.214098,55.674721
59343,106093,,12.206879,-11.659153,302.1148,0.0,7.72,0.319,K2,1.334,Vir,64.923,234,546.4485785781236,HD106093_TypK2_Mag7.72,"hms_tuple(h=12.0, m=12.0, s=43.71419061615171)","dms_tuple(d=-11.0, m=-41.0, s=-24.808375461172858)",183.182142,12.212143,-11.690225
59346,106083,,12.207565,-43.999376,347.2222,0.0,7.91,0.207,K0III,1.14,Cen,71.978,271,646.179090335777,HD106083_TypK0_Mag7.91,"hms_tuple(h=12.0, m=12.0, s=53.0441186338048)","dms_tuple(d=-44.0, m=-1.0, s=-49.46847302292895)",183.221017,12.214734,-44.030408
59362,106127,,12.211692,-2.472731,259.7403,8.0,7.3,0.227,K5III,1.488,Vir,70.664,170,377.23764669214916,HD106127_TypK5_Mag7.3,"hms_tuple(h=12.0, m=13.0, s=0.6656550560298058)","dms_tuple(d=-2.0, m=-30.0, s=-13.719823964105586)",183.252774,12.216852,-2.503811
59365,106150,,12.212676,51.939964,202.0202,0.0,7.28,0.753,K0,0.876,CVn,43.531,168,370.63931974020056,HD106150_TypK0_Mag7.28,"hms_tuple(h=12.0, m=13.0, s=15.713493750660206)","dms_tuple(d=51.0, m=54.0, s=31.734357912728797)",183.315473,12.221032,51.908815
59369,106130,,12.213345,-37.527106,427.3504,0.0,7.43,-0.724,K3III,1.423,Cen,169.668,188,423.08537820947436,HD106130_TypK3_Mag7.43,"hms_tuple(h=12.0, m=13.0, s=11.450482061380711)","dms_tuple(d=-37.0, m=-33.0, s=-29.333618034187907)",183.29771,12.219847,-37.558148
